Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
7.90E-08,0.01853,5.37E-07
7.90E-08,0.017314,7.28E-07
7.90E-08,0.015965,5.59E-07
7.90E-08,0.014423,4.69E-07
7.90E-08,0.012733,4.72E-07
7.90E-08,0.010763,3.41E-07
7.90E-08,0.0085131,1.07E-07
7.90E-08,0.0058441,-2.08E-07
7.90E-08,0.0026241,-2.05E-07
7.90E-08,-5.73E-04,-1.89E-07
7.90E-08,-0.0040793,8.56E-08
7.91E-08,-0.0080542,-2.83E-08
7.90E-08,-0.011949,-8.10E-08
7.90E-08,-0.016017,-7.24E-08
7.90E-08,-0.020597,8.13E-08
7.90E-08,-0.025254,-2.22E-07
7.91E-08,-0.030098,5.40E-07
7.89E-08,-0.034789,8.71E-07
7.88E-08,-0.039668,1.54E-06
7.87E-08,-0.044,1.45E-06
7.86E-08,-0.047859,2.05E-06
7.84E-08,-0.050913,3.68E-06
7.84E-08,-0.054178,5.86E-06
7.85E-08,-0.055961,5.42E-06
7.85E-08,-0.055657,5.56E-06
7.85E-08,-0.053417,6.27E-06
7.86E-08,-0.048933,7.62E-06
7.82E-08,-0.04263,9.03E-06
7.77E-08,-0.034797,9.72E-06
7.79E-08,-0.024163,1.03E-05
7.76E-08,-0.011855,9.78E-06
7.78E-08,-3.39E-05,9.95E-06
7.77E-08,0.01162,1.04E-05
7.78E-08,0.023186,1.11E-05
7.78E-08,0.03467,1.21E-05
7.76E-08,0.045897,1.30E-05
7.77E-08,0.057015,1.21E-05
7.77E-08,0.067953,1.15E-05
7.75E-08,0.078793,1.11E-05
7.76E-08,0.089764,1.28E-05
7.72E-08,0.1006,1.33E-05
7.70E-08,0.11118,1.37E-05
7.68E-08,0.12128,1.22E-05
7.66E-08,0.13042,1.05E-05
7.69E-08,0.13627,8.43E-06
7.69E-08,0.13524,6.71E-06
7.75E-08,0.12644,3.32E-06
7.63E-08,0.113,3.25E-06
7.63E-08,0.10098,3.57E-06
7.62E-08,0.089448,3.57E-06
7.62E-08,0.078108,3.69E-06
7.58E-08,0.066689,3.05E-06
7.56E-08,0.055403,3.32E-06
7.56E-08,0.04426,3.29E-06
7.54E-08,0.033211,3.41E-06
7.53E-08,0.022247,3.72E-06
7.51E-08,0.011384,3.25E-06
7.50E-08,5.95E-04,3.84E-06
7.50E-08,-0.010064,3.76E-06
7.49E-08,-0.020415,3.50E-06
7.50E-08,-0.030306,3.20E-06
7.50E-08,-0.03947,3.64E-06
7.54E-08,-0.043917,5.51E-06
7.53E-08,-0.041252,6.86E-06
7.46E-08,-0.031876,7.65E-06
