Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
8.26E-08,-0.0051882,-6.59E-06
8.21E-08,-0.0025754,-6.43E-06
8.25E-08,-2.09E-04,-6.87E-06
8.27E-08,0.0016161,-6.34E-06
8.26E-08,0.0039058,-7.48E-06
8.26E-08,0.0063887,-8.39E-06
8.29E-08,0.0084855,-8.67E-06
8.31E-08,0.010095,-8.63E-06
8.32E-08,0.010579,-9.48E-06
8.33E-08,0.009897,-8.99E-06
8.32E-08,0.0081772,-9.47E-06
8.35E-08,0.0059944,-7.93E-06
8.34E-08,0.0039684,-8.31E-06
8.32E-08,0.0023113,-9.19E-06
8.33E-08,6.42E-04,-1.13E-05
8.34E-08,-0.0010668,-1.07E-05
8.37E-08,-0.0026243,-1.05E-05
8.39E-08,-0.004023,-1.04E-05
8.39E-08,-0.004625,-9.82E-06
8.39E-08,-0.004282,-9.86E-06
8.39E-08,-0.0031205,-9.23E-06
8.40E-08,-0.0020727,-7.37E-06
8.40E-08,-0.0012721,-8.42E-06
8.40E-08,-5.58E-04,-7.21E-06
8.40E-08,5.42E-04,-6.20E-06
8.41E-08,0.0018832,-6.16E-06
8.40E-08,0.0030906,-6.41E-06
8.41E-08,0.0041423,-6.19E-06
8.42E-08,0.0048879,-5.42E-06
8.41E-08,0.0047972,-5.10E-06
8.42E-08,0.0037096,-5.98E-06
8.40E-08,0.0024242,-5.32E-06
8.40E-08,0.0016924,-3.67E-06
8.40E-08,0.0012614,-6.09E-06
8.39E-08,1.55E-04,-6.20E-06
8.38E-08,-0.0012847,-6.70E-06
8.38E-08,-0.0030523,-7.74E-06
8.39E-08,-0.004893,-6.04E-06
8.37E-08,-0.0067404,-8.09E-06
8.39E-08,-0.0086758,-9.86E-06
8.38E-08,-0.010078,-9.30E-06
8.38E-08,-0.011077,-7.68E-06
8.38E-08,-0.011363,-6.77E-06
8.39E-08,-0.0095347,-7.98E-06
8.36E-08,-0.0063921,-8.78E-06
8.36E-08,-0.0030066,-1.16E-05
8.29E-08,0.0010372,-1.16E-05
8.28E-08,0.0060348,-1.16E-05
8.22E-08,0.01154,-1.25E-05
8.18E-08,0.015751,-1.33E-05
8.16E-08,0.017668,-1.32E-05
8.17E-08,0.017376,-1.41E-05
8.16E-08,0.015058,-1.35E-05
8.17E-08,0.011584,-1.19E-05
8.20E-08,0.007605,-1.26E-05
8.20E-08,0.0035201,-1.30E-05
8.20E-08,-3.75E-04,-1.05E-05
8.18E-08,-0.0039213,-1.00E-05
8.18E-08,-0.0063535,-9.33E-06
8.21E-08,-0.0077361,-8.00E-06
8.20E-08,-0.0085423,-5.40E-06
8.20E-08,-0.0085742,-6.12E-06
8.20E-08,-0.0076691,-4.69E-06
8.21E-08,-0.0057068,-6.31E-06
8.19E-08,-0.0025289,-7.15E-06
